id,dt_start,salary
167,2023-09-17,6114
168,2023-02-24,5595
169,2023-11-17,5883
170,2023-06-02,6574
171,2023-11-24,3411
172,2023-09-17,4817
173,2023-11-08,3681
174,2023-04-12,5842
175,2023-03-20,4226
176,2023-07-11,6700
177,2023-03-24,3118
178,2023-10-04,3188
179,2023-09-29,4328
180,2023-01-01,6261
181,2023-11-03,3229
182,2023-06-15,4201
183,2023-09-08,4468
184,2023-01-10,4535
185,2023-02-27,4764
186,2023-07-05,3596
187,2023-06-07,4000
188,2023-05-03,5175
189,2023-01-30,4687
190,2023-05-04,5318
191,2023-10-18,5792
192,2023-02-10,6246
193,2023-02-13,3737
194,2023-09-06,3696
195,2023-02-05,3717
196,2023-09-30,3323
197,2023-03-06,5496
198,2023-03-07,6566
199,2023-12-04,4566
200,2023-09-01,5538
201,2023-10-09,5798
202,2023-03-26,3986
203,2023-05-16,5038
204,2023-09-28,6738
205,2023-11-07,5388
206,2023-08-05,3586
207,2023-04-19,3951
208,2023-10-04,4888
209,2023-12-20,5612
210,2023-04-13,4040
211,2023-06-09,4882
212,2023-07-24,4045
213,2023-12-10,5731
214,2023-11-29,3038
215,2023-07-11,6681
216,2023-08-13,6295
217,2023-09-22,4905
218,2023-08-20,6691
219,2023-03-03,4178
220,2023-05-07,5775
221,2023-04-26,5238
222,2023-02-02,3647
223,2023-06-23,3302
224,2023-01-11,4809
225,2023-10-29,6871
226,2023-10-11,4415
227,2023-04-28,5406
228,2023-10-29,4225
229,2023-04-23,5617
230,2023-01-04,6940
231,2023-02-06,4737
232,2023-11-20,5827
233,2023-01-31,4024
234,2023-04-28,4871
235,2023-02-04,6462
236,2023-01-17,4237
237,2023-06-19,3815
238,2023-02-06,4575
239,2023-09-21,6495
240,2023-05-02,4979
241,2023-05-23,3436
242,2023-12-09,3971
243,2023-09-06,4562
244,2023-04-20,5342
245,2023-10-04,4470
246,2023-03-09,5354
247,2023-10-20,4211
248,2023-10-23,5864
249,2023-08-31,4209
250,2023-05-05,3089
251,2023-08-31,6399
252,2023-07-28,5696
253,2023-04-08,4621
254,2023-02-18,4124
255,2023-02-19,3033
256,2023-12-04,5318
257,2023-08-09,6543
258,2023-07-01,5809
259,2023-08-05,6187
260,2023-07-30,6050
261,2023-08-28,6987
262,2023-01-28,3200
263,2023-12-11,6729
264,2023-12-01,5483
265,2023-11-27,6052
266,2023-02-20,5034
267,2023-02-01,6411
268,2023-07-26,6703
269,2023-06-23,6698
270,2023-02-25,4172
271,2023-05-08,6177
272,2023-04-09,6272
273,2023-04-08,3942
274,2023-10-02,5486
275,2023-08-18,6284
276,2023-03-13,4443
277,2023-08-05,3897
278,2023-04-04,5607
279,2023-05-23,3778
280,2023-08-25,5543
281,2023-05-08,4026
282,2023-02-08,5776
283,2023-08-15,6094
284,2023-10-09,5952
285,2023-02-20,6143
286,2023-01-26,5700
287,2023-11-30,5788
288,2023-10-04,6433
289,2023-01-08,3560
290,2023-02-17,5573
291,2023-05-02,3397
292,2023-03-27,6700
293,2023-07-28,5570
294,2023-09-06,5647
295,2023-09-04,3161
296,2023-04-20,4265
297,2023-07-25,6230
298,2023-01-31,4805
299,2023-03-26,3136
300,2023-07-14,5373
301,2023-01-02,4494
302,2023-07-19,5999
303,2023-05-16,3538
304,2023-08-21,3369
305,2023-05-27,6725
306,2023-08-05,4208
307,2023-12-23,4338
308,2023-10-12,6061
309,2023-12-05,4701
310,2023-09-07,3719
311,2023-03-21,3822
312,2023-04-08,3541
313,2023-06-01,6221
314,2023-04-22,5209
315,2023-01-30,6589
316,2023-10-24,6979
317,2023-10-05,4498
318,2023-02-01,5174
319,2023-06-10,5055
320,2023-01-30,6741
321,2023-01-26,4116
322,2023-10-27,6401
323,2023-09-02,3673
324,2023-09-15,4052
325,2023-09-29,6743
326,2023-03-22,6377
327,2023-01-30,6867
328,2023-09-18,4973
329,2023-02-11,6962
330,2023-04-06,6303
331,2023-02-05,4208
332,2023-11-01,6057
333,2023-02-04,6565
334,2023-12-12,4387
335,2023-05-01,6294
336,2023-07-26,3471
337,2023-03-03,4918
338,2023-10-19,6944
339,2023-05-07,3308
340,2023-10-24,3576
341,2023-11-01,6089
342,2023-01-21,6958
343,2023-11-14,3924
344,2023-02-11,6523
345,2023-08-03,5770
346,2023-12-03,5966
347,2023-10-26,5762
348,2023-10-17,4627
349,2023-09-25,6961
350,2023-06-11,6464
351,2023-05-14,6295
352,2023-04-15,5282
353,2023-12-09,4498
354,2023-06-10,3369
355,2023-05-03,6238
356,2023-05-16,4616
357,2023-07-22,3057
358,2023-03-09,4083
359,2023-12-10,5197
360,2023-11-27,3506
361,2023-06-03,4862
362,2023-08-23,4509
363,2023-06-11,5755
364,2023-02-07,6067
365,2023-01-05,5753
366,2023-08-23,4073
367,2023-11-15,5394
368,2023-10-16,4560
369,2023-02-21,6368
370,2023-02-07,5615
371,2023-10-03,6851
372,2023-04-20,4521
373,2023-09-17,3443
374,2023-05-16,5764
375,2023-03-09,3957
376,2023-06-28,4931
377,2023-02-05,3102
378,2023-05-06,5537
379,2023-07-09,6621
380,2023-05-26,6863
381,2023-03-22,5299
382,2023-08-13,4343
383,2023-10-06,6748
384,2023-12-27,5498
385,2023-06-04,3906
386,2023-11-10,5652
387,2023-12-01,3258
388,2023-09-28,5602
389,2023-01-05,6374
390,2023-12-08,4901
391,2023-10-11,6724
392,2023-06-03,5871
393,2023-12-06,4237
394,2023-02-23,5659
395,2023-03-10,4672
396,2023-05-16,3477
397,2023-03-01,3572
398,2023-02-24,3185
399,2023-10-11,6875
400,2023-03-21,3152
401,2023-05-20,4246
402,2023-05-25,5017
403,2023-11-06,3475
404,2023-04-18,3398
405,2023-06-25,3961
406,2023-04-15,6634
407,2023-12-18,5201
408,2023-11-21,3555
409,2023-05-16,4591
410,2023-09-16,4858
411,2023-09-08,4519
412,2023-05-09,5746
413,2023-01-27,6888
414,2023-02-17,6043
415,2023-11-21,5852
416,2023-08-05,6874
417,2023-05-22,5212
418,2023-01-23,4716
419,2023-01-02,5405
420,2023-06-20,6040
421,2023-03-08,5976
422,2023-11-23,3632
423,2023-05-15,6626
424,2023-03-24,4699
425,2023-08-15,5682
426,2023-10-10,3405
427,2023-08-07,6414
428,2023-10-15,5004
429,2023-01-05,5521
430,2023-02-27,4671
431,2023-02-08,6846
432,2023-12-20,6897
433,2023-03-18,4145
434,2023-10-07,3134
435,2023-01-19,5827
436,2023-07-09,4517
437,2023-10-26,3889
438,2023-10-10,4816
439,2023-03-17,4821
440,2023-08-09,6893
441,2023-03-07,3967
442,2023-01-22,6503
443,2023-06-07,4485
444,2023-07-06,3406
445,2023-01-21,5808
446,2023-07-03,4504
447,2023-04-18,5230
448,2023-12-16,6693
449,2023-05-08,5641
450,2023-12-08,4469
451,2023-02-22,3248
452,2023-07-01,4630
453,2023-10-14,4130
454,2023-07-28,3777
455,2023-11-14,6965
456,2023-03-21,3500
457,2023-05-02,6887
458,2023-03-25,6473
459,2023-04-01,6375
460,2023-07-31,4862
461,2023-01-13,3375
462,2023-04-02,5714
463,2023-06-20,3868
464,2023-07-30,5628
465,2023-12-09,5619
466,2023-05-08,5445
467,2023-05-17,6977
468,2023-03-23,3087
469,2023-12-26,3207
470,2023-02-25,6222
471,2023-07-15,4366
472,2023-01-20,3997
473,2023-08-29,3515
474,2023-04-24,6223
475,2023-04-13,5312
476,2023-08-24,3840
477,2023-06-29,3281
478,2023-06-06,6398
479,2023-04-27,6134
480,2023-04-25,5270
481,2023-01-13,3848
482,2023-12-04,5401
483,2023-04-09,3884
484,2023-07-24,6330
485,2023-06-18,6562
486,2023-05-23,3954
487,2023-02-05,4345
488,2023-05-23,6171
489,2023-06-29,3604
490,2023-11-25,6230
491,2023-09-18,6688
492,2023-07-24,5441
493,2023-12-14,3011
494,2023-10-02,4135
495,2023-06-19,6516
496,2023-01-15,3592
497,2023-03-01,3532
498,2023-05-14,5212
499,2023-04-02,4026
500,2023-10-25,6270
501,2023-05-16,3714
502,2023-01-20,3450
503,2023-02-25,5707
504,2023-11-02,6548
505,2023-08-11,3105
506,2023-06-26,3539
507,2023-06-10,3060
508,2023-08-12,4467
509,2023-11-07,6235
510,2023-09-19,6229
511,2023-03-01,3974
512,2023-07-17,5411
513,2023-10-23,4326
514,2023-04-08,3064
515,2023-05-11,3713
516,2023-01-23,4086
517,2023-08-12,3214
518,2023-01-01,3519
519,2023-09-24,6038
520,2023-10-03,4724
521,2023-12-18,5154
522,2023-12-10,3465
523,2023-04-11,6054
524,2023-07-06,3260
525,2023-08-09,4950
526,2023-02-05,4836
527,2023-12-07,6186
528,2023-06-19,4482
529,2023-11-16,5102
530,2023-06-10,5431
531,2023-12-06,3446
532,2023-03-05,4851
533,2023-06-03,5063
534,2023-09-17,3907
535,2023-06-08,6872
536,2023-12-08,5519
537,2023-07-29,3177
538,2023-06-17,5978
539,2023-07-26,6208
540,2023-12-23,6722
541,2023-06-01,6551
542,2023-10-11,5698
543,2023-03-07,5135
544,2023-04-09,4235
545,2023-08-04,4876
546,2023-12-07,5635
547,2023-07-14,6948
548,2023-12-13,3127
549,2023-03-31,3249
550,2023-11-12,4961
551,2023-10-19,6470
552,2023-06-04,4645
553,2023-07-27,4746
554,2023-10-08,5810
555,2023-01-01,3442
556,2023-06-05,5008
557,2023-05-27,5917
558,2023-04-18,6726
559,2023-08-09,4816
560,2023-10-24,3301
561,2023-11-07,6683
562,2023-12-02,3330
563,2023-06-14,4319
564,2023-08-27,5491
565,2023-08-15,3607
566,2023-08-15,3269
567,2023-12-12,3516
568,2023-04-20,4126
569,2023-09-19,5557
570,2023-08-31,5593
571,2023-03-28,5397
572,2023-12-04,5246
573,2023-02-13,5916
574,2023-05-26,4331
575,2023-09-21,4560
576,2023-12-06,5446
577,2023-11-21,5173
578,2023-11-14,4207
579,2023-06-21,4858
580,2023-02-17,5070
581,2023-05-01,5479
582,2023-12-11,4762
583,2023-06-08,3406
584,2023-04-26,6248
585,2023-04-12,5874
586,2023-03-17,3468
587,2023-01-13,6493
588,2023-01-24,5681
589,2023-05-06,5666
590,2023-09-01,6595
591,2023-11-09,6149
592,2023-02-07,5258
593,2023-08-22,5952
594,2023-08-01,6545
595,2023-11-19,3880
596,2023-10-22,4761
597,2023-04-10,4849
598,2023-12-23,6637
599,2023-07-16,3935
600,2023-09-11,4694
601,2023-07-24,4388
602,2023-05-05,6389
603,2023-03-17,4857
604,2023-12-02,4633
605,2023-12-19,4703
606,2023-01-03,5988
607,2023-02-24,3389
608,2023-08-06,4280
609,2023-04-23,4748
610,2023-04-01,4280
611,2023-12-23,5724
612,2023-09-23,4044
613,2023-08-26,4533
614,2023-01-26,6905
615,2023-10-13,3625
616,2023-05-08,5813
617,2023-03-04,6780
618,2023-08-22,4942
619,2023-03-10,3274
620,2023-08-26,3373
621,2023-12-08,6406
622,2023-09-29,3349
623,2023-10-14,3381
624,2023-11-01,4768
625,2023-06-12,3395
626,2023-08-15,6049
627,2023-11-10,6026
628,2023-09-16,4526
629,2023-08-07,6325
630,2023-10-08,3532
631,2023-08-17,5278
632,2023-03-23,3245
633,2023-09-01,5402
634,2023-08-19,6918
635,2023-05-13,5300
636,2023-05-07,5300
637,2023-11-23,4350
638,2023-05-22,5744
639,2023-09-24,3500
640,2023-09-06,4682
641,2023-11-17,4448
642,2023-05-03,6578
643,2023-05-21,5725
644,2023-08-14,6854
645,2023-02-09,6073
646,2023-05-27,4732
647,2023-05-01,6555
648,2023-05-20,6751
649,2023-06-21,5953
650,2023-06-13,3210
651,2023-10-04,6966
652,2023-02-11,4178
653,2023-03-12,5459
654,2023-03-19,4279
655,2023-04-29,4440
656,2023-07-16,3424
657,2023-12-22,5367
658,2023-03-20,5078
659,2023-04-20,3871
660,2023-02-02,3633
661,2023-08-01,5689
662,2023-07-28,4975
663,2023-06-19,3918
664,2023-10-05,6470
665,2023-08-27,3443
666,2023-08-01,4434
667,2023-02-01,6462
668,2023-04-16,5278
669,2023-08-04,4505
670,2023-07-19,3470
671,2023-10-27,6123
672,2023-12-23,4141
673,2023-01-11,5351
674,2023-10-22,3926
675,2023-07-14,6306
676,2023-09-02,4757
677,2023-01-04,6461
678,2023-06-30,5297
679,2023-06-02,6991
680,2023-07-19,6143
681,2023-08-03,6352
682,2023-10-03,5546
683,2023-10-07,5513
684,2023-11-05,5764
685,2023-04-23,5632
686,2023-09-07,5280
687,2023-04-23,3107
688,2023-05-20,5494
689,2023-08-12,6805
690,2023-09-06,5694
691,2023-01-15,6397
692,2023-07-19,5840
693,2023-06-22,4095
694,2023-12-09,3118
695,2023-12-14,3738
696,2023-07-27,4119
697,2023-03-26,5878
698,2023-08-28,6122
699,2023-03-07,4265
700,2023-11-15,6774
701,2023-10-01,4391
702,2023-01-14,4437
703,2023-07-21,3025
704,2023-10-31,3743
705,2023-10-16,6562
706,2023-12-06,3586
707,2023-01-14,5319
708,2023-02-12,5692
709,2023-11-26,4641
710,2023-08-08,3285
711,2023-03-11,3581
712,2023-08-25,6035
713,2023-04-04,5593
714,2023-01-26,6980
715,2023-05-14,3125
716,2023-07-14,3375
717,2023-06-17,6056
718,2023-04-19,5172
719,2023-08-21,3881
720,2023-06-17,4540
721,2023-06-22,4719
722,2023-07-14,4858
723,2023-05-23,4396
724,2023-08-04,3644
725,2023-05-10,4515
726,2023-02-11,4276
727,2023-08-29,5955
728,2023-01-10,4328
729,2023-10-04,6181
730,2023-01-27,6856
731,2023-06-29,5324
732,2023-04-25,5442
733,2023-11-29,3347
734,2023-02-05,6618
735,2023-11-30,3215
736,2023-01-21,3637
737,2023-01-16,3644
738,2023-05-07,6090
739,2023-04-13,5530
740,2023-01-11,3203
741,2023-11-15,5760
742,2023-03-20,3334
743,2023-05-03,4114
744,2023-03-06,4814
745,2023-08-31,5711
746,2023-12-09,4736
747,2023-02-28,4989
748,2023-10-16,5486
749,2023-04-22,4810
750,2023-08-27,4696
751,2023-12-25,4118
752,2023-05-12,3882
753,2023-07-08,6092
754,2023-03-27,5098
755,2023-11-07,3466
756,2023-11-07,4413
757,2023-02-28,4760
758,2023-03-25,3454
759,2023-06-09,4160
760,2023-02-25,5777
761,2023-10-24,5779
762,2023-01-14,5429
763,2023-06-09,4993
764,2023-10-22,5158
765,2023-12-13,5732
766,2023-07-12,4263
767,2023-07-23,3186
768,2023-04-12,3903
769,2023-02-08,4618
770,2023-10-31,5454
771,2023-12-20,3224
772,2023-11-18,3031
773,2023-05-05,3837
774,2023-02-22,4234
775,2023-12-23,6872
776,2023-06-04,3865
777,2023-12-17,6143
778,2023-11-04,3562
779,2023-03-03,6130
780,2023-10-17,4046
781,2023-01-22,4185
782,2023-06-27,4343
783,2023-09-30,3491
784,2023-08-08,3031
785,2023-12-05,5037
786,2023-07-09,6059
787,2023-02-05,4763
788,2023-09-17,3719
789,2023-11-28,3529
790,2023-06-24,4557
791,2023-01-07,5181
792,2023-08-04,5882
793,2023-09-08,3942
794,2023-02-24,5049
795,2023-08-10,5288
796,2023-07-05,6413
797,2023-11-22,5736
798,2023-08-24,6302
799,2023-03-20,4450
800,2023-08-11,3295
801,2023-04-01,4626
802,2023-09-25,6529
803,2023-11-30,6039
804,2023-05-19,3173
805,2023-11-12,4786
806,2023-10-03,3076
807,2023-09-05,4883
808,2023-08-27,6773
809,2023-08-12,3318
810,2023-10-31,6531
811,2023-05-18,4282
812,2023-06-15,5358
813,2023-05-06,4758
814,2023-02-14,5348
815,2023-05-23,4656
816,2023-08-19,5906
817,2023-05-05,5622
818,2023-08-26,4710
819,2023-10-19,4185
820,2023-11-09,3471
821,2023-12-09,4659
822,2023-07-14,3085
823,2023-06-22,6957
824,2023-01-15,4330
825,2023-09-11,3703
826,2023-06-16,6282
827,2023-04-04,6881
828,2023-09-07,5531
829,2023-04-19,4884
830,2023-07-01,6407
831,2023-05-13,5824
832,2023-06-24,6767
833,2023-05-24,4482
834,2023-11-02,3360
835,2023-12-26,4788
836,2023-05-22,6459
837,2023-10-12,3433
838,2023-01-06,3996
839,2023-09-22,4784
840,2023-04-08,5412
841,2023-02-13,4640
842,2023-05-04,5146
843,2023-07-28,3322
844,2023-09-08,4621
845,2023-10-12,6565
846,2023-05-04,4270
847,2023-12-20,6054
848,2023-09-01,4390
849,2023-11-27,3907
850,2023-09-09,4364
851,2023-08-18,6191
852,2023-01-09,3688
853,2023-02-17,3312
854,2023-05-31,5090
855,2023-04-24,5593
856,2023-07-27,3467
857,2023-12-21,5173
858,2023-05-05,5088
859,2023-06-06,3794
860,2023-12-06,6710
861,2023-10-25,6179
862,2023-07-08,4431
863,2023-08-31,4438
864,2023-10-11,5979
865,2023-09-29,6924
866,2023-06-26,6354
867,2023-08-06,5643
868,2023-10-09,6338
869,2023-06-19,3604
870,2023-06-30,3967
871,2023-12-26,3421
872,2023-08-21,3599
873,2023-05-19,4048
874,2023-06-06,3808
875,2023-05-09,3710
876,2023-04-29,5467
877,2023-03-03,3626
878,2023-04-09,6113
879,2023-06-11,6109
880,2023-03-03,5684
881,2023-10-02,3308
882,2023-12-20,3725
883,2023-04-05,6896
884,2023-04-09,6165
885,2023-04-21,5572
886,2023-09-05,5023
887,2023-05-22,4900
888,2023-10-29,6090
889,2023-09-26,5309
890,2023-11-02,6112
891,2023-05-25,5373
892,2023-02-21,4838
893,2023-04-10,5789
894,2023-06-01,6785
895,2023-04-27,6612
896,2023-07-04,5312
897,2023-04-02,5633
898,2023-06-04,5602
899,2023-01-08,5558
900,2023-10-01,4323
901,2023-03-06,6539
902,2023-05-21,6977
903,2023-01-24,5569
904,2023-01-28,4294
905,2023-10-11,3618
906,2023-05-30,4801
907,2023-12-24,3279
908,2023-03-06,4920
909,2023-11-23,4811
910,2023-09-09,5586
911,2023-02-22,4240
912,2023-01-07,6261
913,2023-10-21,4125
914,2023-05-26,5422
915,2023-08-29,3230
916,2023-09-03,4441
917,2023-08-14,5078
918,2023-06-24,3303
919,2023-04-05,4271
920,2023-01-27,4891
921,2023-05-10,4851
922,2023-09-02,3154
923,2023-02-28,3233
924,2023-02-03,4510
925,2023-07-25,6406
926,2023-09-09,4175
927,2023-02-07,3314
928,2023-10-23,5640
929,2023-11-19,6539
930,2023-12-18,6503
931,2023-01-28,3369
932,2023-03-19,5519
933,2023-03-18,5433
934,2023-10-16,5076
935,2023-06-05,4574
936,2023-02-13,4895
937,2023-05-08,5377
938,2023-03-02,5270
939,2023-10-13,6908
940,2023-08-02,6243
941,2023-11-07,6026
942,2023-11-02,6669
943,2023-11-13,3168
944,2023-04-26,4842
945,2023-09-25,6723
946,2023-07-14,6317
947,2023-08-19,5341
948,2023-08-15,5669
949,2023-06-02,3771
950,2023-10-29,4316
951,2023-08-08,5478
952,2023-06-06,4948
953,2023-10-19,5053
954,2023-11-14,3617
955,2023-01-31,6922
956,2023-11-09,3253
957,2023-02-20,4845
958,2023-04-17,3423
959,2023-11-17,6321
960,2023-04-19,6682
961,2023-05-16,6429
962,2023-12-05,4406
963,2023-02-11,5925
964,2023-03-22,3345
965,2023-05-03,5066
966,2023-03-30,5646
967,2023-10-10,3706
968,2023-02-08,3160
969,2023-03-22,4014
970,2023-01-02,5898
971,2023-07-29,4793
972,2023-08-19,4799
973,2023-12-19,5146
974,2023-11-01,5141
975,2023-08-29,5497
976,2023-05-30,3650
977,2023-01-17,4490
978,2023-04-29,4527
979,2023-05-28,6759
980,2023-05-25,4158
981,2023-12-26,4586
982,2023-08-21,4674
983,2023-02-06,6172
984,2023-12-18,4385
985,2023-04-30,5780
986,2023-05-16,5448
987,2023-11-17,3214
988,2023-10-29,6232
989,2023-12-05,5584
990,2023-04-12,5651
991,2023-08-06,4370
992,2023-02-28,3269
993,2023-10-06,4350
994,2023-04-26,3387
995,2023-11-28,5285
996,2023-03-18,5778
997,2023-05-17,4583
998,2023-03-14,4163
999,2023-02-06,4032
1000,2023-01-31,5964
1001,2023-03-26,6488
1002,2023-06-07,5689
1003,2023-11-01,6950
1004,2023-10-19,6712
1005,2023-05-28,5468
1006,2023-08-13,6576
1007,2023-03-05,3615
1008,2023-08-28,4365
1009,2023-12-19,3333
1010,2023-06-05,5386
1011,2023-12-25,5718
1012,2023-07-26,3579
1013,2023-05-20,6754
1014,2023-09-14,4432
1015,2023-10-04,4270
1016,2023-09-10,6963
1017,2023-08-13,5687
1018,2023-02-11,5860
1019,2023-11-03,5712
1020,2023-01-21,4605
1021,2023-08-10,3528
1022,2023-06-15,5437
1023,2023-11-06,5903
1024,2023-05-09,6842
1025,2023-01-14,3347
1026,2023-02-16,4268
1027,2023-04-28,5289
1028,2023-12-12,4542
1029,2023-10-22,5635
1030,2023-10-28,6242
1031,2023-01-11,4345
1032,2023-12-11,6330
1033,2023-05-18,3523
1034,2023-10-23,5744
1035,2023-01-21,5878
1036,2023-03-31,6395
1037,2023-08-29,6879
1038,2023-09-23,6026
1039,2023-11-30,5807
1040,2023-08-15,6737
1041,2023-05-23,5156
1042,2023-04-03,3382
1043,2023-10-27,5646
1044,2023-08-12,5746
1045,2023-11-22,4734
1046,2023-09-09,5082
1047,2023-02-16,4482
1048,2023-08-29,3074
1049,2023-06-28,4485
1050,2023-07-29,4265
1051,2023-06-20,3738
1052,2023-06-14,6895
1053,2023-12-10,3877
1054,2023-02-23,4399
1055,2023-03-24,6881
1056,2023-06-18,6138
1057,2023-07-30,4991
1058,2023-12-22,3786
1059,2023-09-11,3927
1060,2023-05-28,3563
1061,2023-12-06,3634
1062,2023-07-25,3316
1063,2023-10-09,4211
1064,2023-01-19,6458
1065,2023-08-21,6228
1066,2023-02-15,3414
1067,2023-06-11,5079
1068,2023-05-10,6157
1069,2023-06-15,5210
1070,2023-03-01,6420
1071,2023-07-26,6025
1072,2023-09-21,6619
1073,2023-01-01,5156
1074,2023-12-03,3154
1075,2023-10-05,5711
1076,2023-08-25,4379
1077,2023-07-31,6589
1078,2023-01-28,6138
1079,2023-04-07,5531
1080,2023-09-23,3536
1081,2023-07-05,5446
1082,2023-11-15,4543
1083,2023-09-13,3631
1084,2023-11-17,3664
1085,2023-08-15,3740
1086,2023-01-27,6405
1087,2023-04-15,5837
1088,2023-05-17,6158
1089,2023-10-09,5558
1090,2023-03-09,6313
1091,2023-05-28,6697
1092,2023-08-13,3678
1093,2023-12-24,5953
1094,2023-09-06,4792
1095,2023-03-04,3178
1096,2023-01-15,4682
1097,2023-11-19,4492
1098,2023-11-08,5770
1099,2023-05-03,5947
